onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.8	0.002	resp	3	900	PsychophysicsToolbox
1.814	0.002	resp	3	907	PsychophysicsToolbox
1.824	0.002	resp	3	912	PsychophysicsToolbox
1.834	0.002	resp	3	917	PsychophysicsToolbox
1.844	0.002	resp	3	922	PsychophysicsToolbox
1.854	0.002	resp	3	927	PsychophysicsToolbox
1.864	0.002	resp	3	932	PsychophysicsToolbox
1.874	0.002	resp	3	937	PsychophysicsToolbox
1.884	0.002	resp	3	942	PsychophysicsToolbox
1.894	0.002	resp	3	947	PsychophysicsToolbox
1.904	0.002	resp	3	952	PsychophysicsToolbox
1.914	0.002	resp	3	957	PsychophysicsToolbox
1.924	0.002	resp	3	962	PsychophysicsToolbox
2.168	0.002	stim_on	4	1084	PsychophysicsToolbox
2.952	0.002	resp	3	1476	PsychophysicsToolbox
2.966	0.002	resp	3	1483	PsychophysicsToolbox
2.976	0.002	resp	3	1488	PsychophysicsToolbox
2.986	0.002	resp	3	1493	PsychophysicsToolbox
2.996	0.002	resp	3	1498	PsychophysicsToolbox
3.006	0.002	resp	3	1503	PsychophysicsToolbox
3.016	0.002	resp	3	1508	PsychophysicsToolbox
3.026	0.002	resp	3	1513	PsychophysicsToolbox
3.036	0.002	resp	3	1518	PsychophysicsToolbox
3.046	0.002	resp	3	1523	PsychophysicsToolbox
3.062	0.002	resp	3	1531	PsychophysicsToolbox
3.072	0.002	resp	3	1536	PsychophysicsToolbox
3.082	0.002	resp	3	1541	PsychophysicsToolbox
3.092	0.002	resp	3	1546	PsychophysicsToolbox
3.788	0.002	stim_on	4	1894	PsychophysicsToolbox
4.546	0.002	resp	3	2273	PsychophysicsToolbox
4.564	0.002	resp	3	2282	PsychophysicsToolbox
4.58	0.002	resp	3	2290	PsychophysicsToolbox
4.59	0.002	resp	3	2295	PsychophysicsToolbox
4.6	0.002	resp	3	2300	PsychophysicsToolbox
4.61	0.002	resp	3	2305	PsychophysicsToolbox
4.62	0.002	resp	3	2310	PsychophysicsToolbox
4.63	0.002	resp	3	2315	PsychophysicsToolbox
4.64	0.002	resp	3	2320	PsychophysicsToolbox
4.65	0.002	resp	3	2325	PsychophysicsToolbox
4.66	0.002	resp	3	2330	PsychophysicsToolbox
4.67	0.002	resp	3	2335	PsychophysicsToolbox
4.68	0.002	resp	3	2340	PsychophysicsToolbox
4.69	0.002	resp	3	2345	PsychophysicsToolbox
4.7	0.002	resp	3	2350	PsychophysicsToolbox
4.71	0.002	resp	3	2355	PsychophysicsToolbox
5.224	0.002	stim_on	4	2612	PsychophysicsToolbox
5.998	0.002	resp	3	2999	PsychophysicsToolbox
6.016	0.002	resp	3	3008	PsychophysicsToolbox
6.026	0.002	resp	3	3013	PsychophysicsToolbox
6.036	0.002	resp	3	3018	PsychophysicsToolbox
6.046	0.002	resp	3	3023	PsychophysicsToolbox
6.056	0.002	resp	3	3028	PsychophysicsToolbox
6.066	0.002	resp	3	3033	PsychophysicsToolbox
6.076	0.002	resp	3	3038	PsychophysicsToolbox
6.086	0.002	resp	3	3043	PsychophysicsToolbox
6.096	0.002	resp	3	3048	PsychophysicsToolbox
6.106	0.002	resp	3	3053	PsychophysicsToolbox
6.122	0.002	resp	3	3061	PsychophysicsToolbox
6.132	0.002	resp	3	3066	PsychophysicsToolbox
6.142	0.002	resp	3	3071	PsychophysicsToolbox
6.152	0.002	resp	3	3076	PsychophysicsToolbox
6.162	0.002	resp	3	3081	PsychophysicsToolbox
6.794	0.002	stim_on	4	3397	PsychophysicsToolbox
7.524	0.002	resp	3	3762	PsychophysicsToolbox
7.538	0.002	resp	3	3769	PsychophysicsToolbox
7.548	0.002	resp	3	3774	PsychophysicsToolbox
7.558	0.002	resp	3	3779	PsychophysicsToolbox
7.568	0.002	resp	3	3784	PsychophysicsToolbox
7.578	0.002	resp	3	3789	PsychophysicsToolbox
7.588	0.002	resp	3	3794	PsychophysicsToolbox
7.598	0.002	resp	3	3799	PsychophysicsToolbox
7.608	0.002	resp	3	3804	PsychophysicsToolbox
7.618	0.002	resp	3	3809	PsychophysicsToolbox
7.628	0.002	resp	3	3814	PsychophysicsToolbox
7.638	0.002	resp	3	3819	PsychophysicsToolbox
7.648	0.002	resp	3	3824	PsychophysicsToolbox
7.658	0.002	resp	3	3829	PsychophysicsToolbox
7.674	0.002	resp	3	3837	PsychophysicsToolbox
7.684	0.002	resp	3	3842	PsychophysicsToolbox
7.694	0.002	resp	3	3847	PsychophysicsToolbox
8.296	0.002	stim_on	4	4148	PsychophysicsToolbox
9.078	0.002	resp	3	4539	PsychophysicsToolbox
9.092	0.002	resp	3	4546	PsychophysicsToolbox
9.102	0.002	resp	3	4551	PsychophysicsToolbox
9.112	0.002	resp	3	4556	PsychophysicsToolbox
9.122	0.002	resp	3	4561	PsychophysicsToolbox
9.132	0.002	resp	3	4566	PsychophysicsToolbox
9.142	0.002	resp	3	4571	PsychophysicsToolbox
9.152	0.002	resp	3	4576	PsychophysicsToolbox
9.168	0.002	resp	3	4584	PsychophysicsToolbox
9.178	0.002	resp	3	4589	PsychophysicsToolbox
9.188	0.002	resp	3	4594	PsychophysicsToolbox
9.198	0.002	resp	3	4599	PsychophysicsToolbox
9.208	0.002	resp	3	4604	PsychophysicsToolbox
9.218	0.002	resp	3	4609	PsychophysicsToolbox
9.666	0.002	stim_on	4	4833	PsychophysicsToolbox
10.602	0.002	resp	3	5301	PsychophysicsToolbox
10.616	0.002	resp	3	5308	PsychophysicsToolbox
10.626	0.002	resp	3	5313	PsychophysicsToolbox
10.636	0.002	resp	3	5318	PsychophysicsToolbox
10.646	0.002	resp	3	5323	PsychophysicsToolbox
10.662	0.002	resp	3	5331	PsychophysicsToolbox
10.672	0.002	resp	3	5336	PsychophysicsToolbox
10.682	0.002	resp	3	5341	PsychophysicsToolbox
10.692	0.002	resp	3	5346	PsychophysicsToolbox
10.702	0.002	resp	3	5351	PsychophysicsToolbox
10.712	0.002	resp	3	5356	PsychophysicsToolbox
