onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.716	0.002	resp	3	858	PsychophysicsToolbox
1.726	0.002	resp	3	863	PsychophysicsToolbox
1.73	0.002	resp	3	865	PsychophysicsToolbox
1.736	0.002	resp	3	868	PsychophysicsToolbox
1.74	0.002	resp	3	870	PsychophysicsToolbox
1.746	0.002	resp	3	873	PsychophysicsToolbox
1.75	0.002	resp	3	875	PsychophysicsToolbox
1.756	0.002	resp	3	878	PsychophysicsToolbox
1.76	0.002	resp	3	880	PsychophysicsToolbox
1.766	0.002	resp	3	883	PsychophysicsToolbox
1.77	0.002	resp	3	885	PsychophysicsToolbox
1.776	0.002	resp	3	888	PsychophysicsToolbox
1.78	0.002	resp	3	890	PsychophysicsToolbox
1.786	0.002	resp	3	893	PsychophysicsToolbox
1.79	0.002	resp	3	895	PsychophysicsToolbox
1.796	0.002	resp	3	898	PsychophysicsToolbox
1.8	0.002	resp	3	900	PsychophysicsToolbox
1.806	0.002	resp	3	903	PsychophysicsToolbox
1.81	0.002	resp	3	905	PsychophysicsToolbox
1.816	0.002	resp	3	908	PsychophysicsToolbox
2.036	0.002	stim_on	4	1018	PsychophysicsToolbox
2.956	0.002	resp	3	1478	PsychophysicsToolbox
2.966	0.002	resp	3	1483	PsychophysicsToolbox
2.97	0.002	resp	3	1485	PsychophysicsToolbox
2.976	0.002	resp	3	1488	PsychophysicsToolbox
2.98	0.002	resp	3	1490	PsychophysicsToolbox
2.986	0.002	resp	3	1493	PsychophysicsToolbox
2.99	0.002	resp	3	1495	PsychophysicsToolbox
2.996	0.002	resp	3	1498	PsychophysicsToolbox
3.002	0.002	resp	3	1501	PsychophysicsToolbox
3.006	0.002	resp	3	1503	PsychophysicsToolbox
3.012	0.002	resp	3	1506	PsychophysicsToolbox
3.016	0.002	resp	3	1508	PsychophysicsToolbox
3.022	0.002	resp	3	1511	PsychophysicsToolbox
3.026	0.002	resp	3	1513	PsychophysicsToolbox
3.032	0.002	resp	3	1516	PsychophysicsToolbox
3.036	0.002	resp	3	1518	PsychophysicsToolbox
3.042	0.002	resp	3	1521	PsychophysicsToolbox
3.046	0.002	resp	3	1523	PsychophysicsToolbox
3.052	0.002	resp	3	1526	PsychophysicsToolbox
3.056	0.002	resp	3	1528	PsychophysicsToolbox
3.504	0.002	stim_on	4	1752	PsychophysicsToolbox
4.3	0.002	resp	3	2150	PsychophysicsToolbox
4.31	0.002	resp	3	2155	PsychophysicsToolbox
4.314	0.002	resp	3	2157	PsychophysicsToolbox
4.32	0.002	resp	3	2160	PsychophysicsToolbox
4.324	0.002	resp	3	2162	PsychophysicsToolbox
4.33	0.002	resp	3	2165	PsychophysicsToolbox
4.334	0.002	resp	3	2167	PsychophysicsToolbox
4.34	0.002	resp	3	2170	PsychophysicsToolbox
4.344	0.002	resp	3	2172	PsychophysicsToolbox
4.35	0.002	resp	3	2175	PsychophysicsToolbox
4.354	0.002	resp	3	2177	PsychophysicsToolbox
4.36	0.002	resp	3	2180	PsychophysicsToolbox
4.366	0.002	resp	3	2183	PsychophysicsToolbox
4.37	0.002	resp	3	2185	PsychophysicsToolbox
4.376	0.002	resp	3	2188	PsychophysicsToolbox
4.38	0.002	resp	3	2190	PsychophysicsToolbox
4.386	0.002	resp	3	2193	PsychophysicsToolbox
4.39	0.002	resp	3	2195	PsychophysicsToolbox
4.396	0.002	resp	3	2198	PsychophysicsToolbox
4.4	0.002	resp	3	2200	PsychophysicsToolbox
4.406	0.002	resp	3	2203	PsychophysicsToolbox
4.41	0.002	resp	3	2205	PsychophysicsToolbox
4.416	0.002	resp	3	2208	PsychophysicsToolbox
5.158	0.002	stim_on	4	2579	PsychophysicsToolbox
5.94	0.002	resp	3	2970	PsychophysicsToolbox
5.95	0.002	resp	3	2975	PsychophysicsToolbox
5.954	0.002	resp	3	2977	PsychophysicsToolbox
5.96	0.002	resp	3	2980	PsychophysicsToolbox
5.964	0.002	resp	3	2982	PsychophysicsToolbox
5.97	0.002	resp	3	2985	PsychophysicsToolbox
5.974	0.002	resp	3	2987	PsychophysicsToolbox
5.98	0.002	resp	3	2990	PsychophysicsToolbox
5.984	0.002	resp	3	2992	PsychophysicsToolbox
5.99	0.002	resp	3	2995	PsychophysicsToolbox
5.994	0.002	resp	3	2997	PsychophysicsToolbox
6.0	0.002	resp	3	3000	PsychophysicsToolbox
6.004	0.002	resp	3	3002	PsychophysicsToolbox
6.01	0.002	resp	3	3005	PsychophysicsToolbox
6.014	0.002	resp	3	3007	PsychophysicsToolbox
6.02	0.002	resp	3	3010	PsychophysicsToolbox
6.024	0.002	resp	3	3012	PsychophysicsToolbox
6.03	0.002	resp	3	3015	PsychophysicsToolbox
6.034	0.002	resp	3	3017	PsychophysicsToolbox
6.04	0.002	resp	3	3020	PsychophysicsToolbox
6.044	0.002	resp	3	3022	PsychophysicsToolbox
6.594	0.002	stim_on	4	3297	PsychophysicsToolbox
7.372	0.002	resp	3	3686	PsychophysicsToolbox
7.382	0.002	resp	3	3691	PsychophysicsToolbox
7.386	0.002	resp	3	3693	PsychophysicsToolbox
7.392	0.002	resp	3	3696	PsychophysicsToolbox
7.396	0.002	resp	3	3698	PsychophysicsToolbox
7.402	0.002	resp	3	3701	PsychophysicsToolbox
7.406	0.002	resp	3	3703	PsychophysicsToolbox
7.412	0.002	resp	3	3706	PsychophysicsToolbox
7.416	0.002	resp	3	3708	PsychophysicsToolbox
7.422	0.002	resp	3	3711	PsychophysicsToolbox
7.426	0.002	resp	3	3713	PsychophysicsToolbox
7.432	0.002	resp	3	3716	PsychophysicsToolbox
7.436	0.002	resp	3	3718	PsychophysicsToolbox
7.442	0.002	resp	3	3721	PsychophysicsToolbox
7.448	0.002	resp	3	3724	PsychophysicsToolbox
7.452	0.002	resp	3	3726	PsychophysicsToolbox
7.458	0.002	resp	3	3729	PsychophysicsToolbox
7.462	0.002	resp	3	3731	PsychophysicsToolbox
7.468	0.002	resp	3	3734	PsychophysicsToolbox
