onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.001	begin	1	0	PsychophysicsToolbox
0.499	0.001	stim_on	4	499	PsychophysicsToolbox
1.464	0.001	resp	3	1464	PsychophysicsToolbox
1.471	0.001	resp	3	1471	PsychophysicsToolbox
1.476	0.001	resp	3	1476	PsychophysicsToolbox
1.481	0.001	resp	3	1481	PsychophysicsToolbox
1.486	0.001	resp	3	1486	PsychophysicsToolbox
1.491	0.001	resp	3	1491	PsychophysicsToolbox
1.496	0.001	resp	3	1496	PsychophysicsToolbox
1.501	0.001	resp	3	1501	PsychophysicsToolbox
1.506	0.001	resp	3	1506	PsychophysicsToolbox
1.511	0.001	resp	3	1511	PsychophysicsToolbox
1.521	0.001	resp	3	1521	PsychophysicsToolbox
1.526	0.001	resp	3	1526	PsychophysicsToolbox
1.531	0.001	resp	3	1531	PsychophysicsToolbox
1.536	0.001	resp	3	1536	PsychophysicsToolbox
1.541	0.001	resp	3	1541	PsychophysicsToolbox
1.546	0.001	resp	3	1546	PsychophysicsToolbox
1.551	0.001	resp	3	1551	PsychophysicsToolbox
1.556	0.001	resp	3	1556	PsychophysicsToolbox
1.561	0.001	resp	3	1561	PsychophysicsToolbox
1.566	0.001	resp	3	1566	PsychophysicsToolbox
1.576	0.001	resp	3	1576	PsychophysicsToolbox
1.581	0.001	resp	3	1581	PsychophysicsToolbox
1.586	0.001	resp	3	1586	PsychophysicsToolbox
1.591	0.001	resp	3	1591	PsychophysicsToolbox
1.597	0.001	resp	3	1597	PsychophysicsToolbox
1.602	0.001	resp	3	1602	PsychophysicsToolbox
1.607	0.001	resp	3	1607	PsychophysicsToolbox
1.612	0.001	resp	3	1612	PsychophysicsToolbox
1.617	0.001	resp	3	1617	PsychophysicsToolbox
1.627	0.001	resp	3	1627	PsychophysicsToolbox
1.632	0.001	resp	3	1632	PsychophysicsToolbox
1.637	0.001	resp	3	1637	PsychophysicsToolbox
2.202	0.001	stim_on	4	2202	PsychophysicsToolbox
2.72	0.001	resp	3	2720	PsychophysicsToolbox
2.727	0.001	resp	3	2727	PsychophysicsToolbox
2.732	0.001	resp	3	2732	PsychophysicsToolbox
2.737	0.001	resp	3	2737	PsychophysicsToolbox
2.742	0.001	resp	3	2742	PsychophysicsToolbox
2.747	0.001	resp	3	2747	PsychophysicsToolbox
2.752	0.001	resp	3	2752	PsychophysicsToolbox
2.757	0.001	resp	3	2757	PsychophysicsToolbox
2.762	0.001	resp	3	2762	PsychophysicsToolbox
2.767	0.001	resp	3	2767	PsychophysicsToolbox
2.777	0.001	resp	3	2777	PsychophysicsToolbox
2.782	0.001	resp	3	2782	PsychophysicsToolbox
2.787	0.001	resp	3	2787	PsychophysicsToolbox
2.792	0.001	resp	3	2792	PsychophysicsToolbox
2.797	0.001	resp	3	2797	PsychophysicsToolbox
2.803	0.001	resp	3	2803	PsychophysicsToolbox
2.808	0.001	resp	3	2808	PsychophysicsToolbox
2.813	0.001	resp	3	2813	PsychophysicsToolbox
2.818	0.001	resp	3	2818	PsychophysicsToolbox
2.828	0.001	resp	3	2828	PsychophysicsToolbox
2.833	0.001	resp	3	2833	PsychophysicsToolbox
2.838	0.001	resp	3	2838	PsychophysicsToolbox
2.843	0.001	resp	3	2843	PsychophysicsToolbox
2.848	0.001	resp	3	2848	PsychophysicsToolbox
2.853	0.001	resp	3	2853	PsychophysicsToolbox
