onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.454	0.002	resp	3	727	PsychophysicsToolbox
1.464	0.002	resp	3	732	PsychophysicsToolbox
1.468	0.002	resp	3	734	PsychophysicsToolbox
1.474	0.002	resp	3	737	PsychophysicsToolbox
1.478	0.002	resp	3	739	PsychophysicsToolbox
1.484	0.002	resp	3	742	PsychophysicsToolbox
1.488	0.002	resp	3	744	PsychophysicsToolbox
1.494	0.002	resp	3	747	PsychophysicsToolbox
1.498	0.002	resp	3	749	PsychophysicsToolbox
1.504	0.002	resp	3	752	PsychophysicsToolbox
1.514	0.002	resp	3	757	PsychophysicsToolbox
1.518	0.002	resp	3	759	PsychophysicsToolbox
1.524	0.002	resp	3	762	PsychophysicsToolbox
1.528	0.002	resp	3	764	PsychophysicsToolbox
1.534	0.002	resp	3	767	PsychophysicsToolbox
1.54	0.002	resp	3	770	PsychophysicsToolbox
1.544	0.002	resp	3	772	PsychophysicsToolbox
1.55	0.002	resp	3	775	PsychophysicsToolbox
1.554	0.002	resp	3	777	PsychophysicsToolbox
1.564	0.002	resp	3	782	PsychophysicsToolbox
1.57	0.002	resp	3	785	PsychophysicsToolbox
1.574	0.002	resp	3	787	PsychophysicsToolbox
1.58	0.002	resp	3	790	PsychophysicsToolbox
1.584	0.002	resp	3	792	PsychophysicsToolbox
2.168	0.002	stim_on	4	1084	PsychophysicsToolbox
3.104	0.002	resp	3	1552	PsychophysicsToolbox
3.112	0.002	resp	3	1556	PsychophysicsToolbox
3.118	0.002	resp	3	1559	PsychophysicsToolbox
3.122	0.002	resp	3	1561	PsychophysicsToolbox
3.128	0.002	resp	3	1564	PsychophysicsToolbox
3.134	0.002	resp	3	1567	PsychophysicsToolbox
3.138	0.002	resp	3	1569	PsychophysicsToolbox
3.144	0.002	resp	3	1572	PsychophysicsToolbox
3.148	0.002	resp	3	1574	PsychophysicsToolbox
3.154	0.002	resp	3	1577	PsychophysicsToolbox
3.164	0.002	resp	3	1582	PsychophysicsToolbox
3.168	0.002	resp	3	1584	PsychophysicsToolbox
3.174	0.002	resp	3	1587	PsychophysicsToolbox
3.178	0.002	resp	3	1589	PsychophysicsToolbox
3.184	0.002	resp	3	1592	PsychophysicsToolbox
3.188	0.002	resp	3	1594	PsychophysicsToolbox
3.194	0.002	resp	3	1597	PsychophysicsToolbox
3.198	0.002	resp	3	1599	PsychophysicsToolbox
3.204	0.002	resp	3	1602	PsychophysicsToolbox
3.208	0.002	resp	3	1604	PsychophysicsToolbox
3.218	0.002	resp	3	1609	PsychophysicsToolbox
3.224	0.002	resp	3	1612	PsychophysicsToolbox
3.228	0.002	resp	3	1614	PsychophysicsToolbox
3.234	0.002	resp	3	1617	PsychophysicsToolbox
3.238	0.002	resp	3	1619	PsychophysicsToolbox
3.244	0.002	resp	3	1622	PsychophysicsToolbox
3.248	0.002	resp	3	1624	PsychophysicsToolbox
3.254	0.002	resp	3	1627	PsychophysicsToolbox
3.258	0.002	resp	3	1629	PsychophysicsToolbox
3.264	0.002	resp	3	1632	PsychophysicsToolbox
3.52	0.002	stim_on	4	1760	PsychophysicsToolbox
4.48	0.002	resp	3	2240	PsychophysicsToolbox
4.49	0.002	resp	3	2245	PsychophysicsToolbox
4.494	0.002	resp	3	2247	PsychophysicsToolbox
4.5	0.002	resp	3	2250	PsychophysicsToolbox
4.504	0.002	resp	3	2252	PsychophysicsToolbox
4.51	0.002	resp	3	2255	PsychophysicsToolbox
4.514	0.002	resp	3	2257	PsychophysicsToolbox
4.52	0.002	resp	3	2260	PsychophysicsToolbox
4.524	0.002	resp	3	2262	PsychophysicsToolbox
4.53	0.002	resp	3	2265	PsychophysicsToolbox
4.54	0.002	resp	3	2270	PsychophysicsToolbox
4.544	0.002	resp	3	2272	PsychophysicsToolbox
4.55	0.002	resp	3	2275	PsychophysicsToolbox
4.554	0.002	resp	3	2277	PsychophysicsToolbox
4.56	0.002	resp	3	2280	PsychophysicsToolbox
4.564	0.002	resp	3	2282	PsychophysicsToolbox
4.57	0.002	resp	3	2285	PsychophysicsToolbox
4.574	0.002	resp	3	2287	PsychophysicsToolbox
4.58	0.002	resp	3	2290	PsychophysicsToolbox
4.584	0.002	resp	3	2292	PsychophysicsToolbox
4.594	0.002	resp	3	2297	PsychophysicsToolbox
4.6	0.002	resp	3	2300	PsychophysicsToolbox
4.604	0.002	resp	3	2302	PsychophysicsToolbox
4.61	0.002	resp	3	2305	PsychophysicsToolbox
4.614	0.002	resp	3	2307	PsychophysicsToolbox
4.62	0.002	resp	3	2310	PsychophysicsToolbox
4.626	0.002	resp	3	2313	PsychophysicsToolbox
4.63	0.002	resp	3	2315	PsychophysicsToolbox
4.636	0.002	resp	3	2318	PsychophysicsToolbox
4.64	0.002	resp	3	2320	PsychophysicsToolbox
4.84	0.002	stim_on	4	2420	PsychophysicsToolbox
5.686	0.002	resp	3	2843	PsychophysicsToolbox
5.696	0.002	resp	3	2848	PsychophysicsToolbox
5.7	0.002	resp	3	2850	PsychophysicsToolbox
5.706	0.002	resp	3	2853	PsychophysicsToolbox
5.71	0.002	resp	3	2855	PsychophysicsToolbox
5.716	0.002	resp	3	2858	PsychophysicsToolbox
5.72	0.002	resp	3	2860	PsychophysicsToolbox
5.726	0.002	resp	3	2863	PsychophysicsToolbox
5.73	0.002	resp	3	2865	PsychophysicsToolbox
5.736	0.002	resp	3	2868	PsychophysicsToolbox
5.746	0.002	resp	3	2873	PsychophysicsToolbox
5.75	0.002	resp	3	2875	PsychophysicsToolbox
5.756	0.002	resp	3	2878	PsychophysicsToolbox
5.76	0.002	resp	3	2880	PsychophysicsToolbox
5.766	0.002	resp	3	2883	PsychophysicsToolbox
5.77	0.002	resp	3	2885	PsychophysicsToolbox
5.776	0.002	resp	3	2888	PsychophysicsToolbox
5.78	0.002	resp	3	2890	PsychophysicsToolbox
5.786	0.002	resp	3	2893	PsychophysicsToolbox
5.79	0.002	resp	3	2895	PsychophysicsToolbox
