onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.334	0.002	resp	3	667	PsychophysicsToolbox
1.348	0.002	resp	3	674	PsychophysicsToolbox
1.358	0.002	resp	3	679	PsychophysicsToolbox
1.368	0.002	resp	3	684	PsychophysicsToolbox
1.378	0.002	resp	3	689	PsychophysicsToolbox
1.388	0.002	resp	3	694	PsychophysicsToolbox
1.398	0.002	resp	3	699	PsychophysicsToolbox
1.408	0.002	resp	3	704	PsychophysicsToolbox
1.418	0.002	resp	3	709	PsychophysicsToolbox
1.434	0.002	resp	3	717	PsychophysicsToolbox
1.444	0.002	resp	3	722	PsychophysicsToolbox
2.002	0.002	stim_on	4	1001	PsychophysicsToolbox
2.87	0.002	resp	3	1435	PsychophysicsToolbox
2.882	0.002	resp	3	1441	PsychophysicsToolbox
2.898	0.002	resp	3	1449	PsychophysicsToolbox
2.908	0.002	resp	3	1454	PsychophysicsToolbox
2.918	0.002	resp	3	1459	PsychophysicsToolbox
2.928	0.002	resp	3	1464	PsychophysicsToolbox
2.938	0.002	resp	3	1469	PsychophysicsToolbox
2.948	0.002	resp	3	1474	PsychophysicsToolbox
2.958	0.002	resp	3	1479	PsychophysicsToolbox
3.672	0.002	stim_on	4	1836	PsychophysicsToolbox
4.47	0.002	resp	3	2235	PsychophysicsToolbox
4.484	0.002	resp	3	2242	PsychophysicsToolbox
4.494	0.002	resp	3	2247	PsychophysicsToolbox
4.504	0.002	resp	3	2252	PsychophysicsToolbox
4.514	0.002	resp	3	2257	PsychophysicsToolbox
4.524	0.002	resp	3	2262	PsychophysicsToolbox
4.534	0.002	resp	3	2267	PsychophysicsToolbox
4.544	0.002	resp	3	2272	PsychophysicsToolbox
4.554	0.002	resp	3	2277	PsychophysicsToolbox
4.564	0.002	resp	3	2282	PsychophysicsToolbox
4.574	0.002	resp	3	2287	PsychophysicsToolbox
4.59	0.002	resp	3	2295	PsychophysicsToolbox
4.6	0.002	resp	3	2300	PsychophysicsToolbox
5.358	0.002	stim_on	4	2679	PsychophysicsToolbox
6.298	0.002	resp	3	3149	PsychophysicsToolbox
6.316	0.002	resp	3	3158	PsychophysicsToolbox
6.326	0.002	resp	3	3163	PsychophysicsToolbox
6.336	0.002	resp	3	3168	PsychophysicsToolbox
6.352	0.002	resp	3	3176	PsychophysicsToolbox
6.362	0.002	resp	3	3181	PsychophysicsToolbox
6.372	0.002	resp	3	3186	PsychophysicsToolbox
6.382	0.002	resp	3	3191	PsychophysicsToolbox
6.392	0.002	resp	3	3196	PsychophysicsToolbox
6.994	0.002	stim_on	4	3497	PsychophysicsToolbox
7.888	0.002	resp	3	3944	PsychophysicsToolbox
7.902	0.002	resp	3	3951	PsychophysicsToolbox
7.912	0.002	resp	3	3956	PsychophysicsToolbox
7.922	0.002	resp	3	3961	PsychophysicsToolbox
7.932	0.002	resp	3	3966	PsychophysicsToolbox
7.942	0.002	resp	3	3971	PsychophysicsToolbox
7.952	0.002	resp	3	3976	PsychophysicsToolbox
7.962	0.002	resp	3	3981	PsychophysicsToolbox
7.972	0.002	resp	3	3986	PsychophysicsToolbox
7.982	0.002	resp	3	3991	PsychophysicsToolbox
7.992	0.002	resp	3	3996	PsychophysicsToolbox
8.598	0.002	stim_on	4	4299	PsychophysicsToolbox
9.482	0.002	resp	3	4741	PsychophysicsToolbox
9.5	0.002	resp	3	4750	PsychophysicsToolbox
9.51	0.002	resp	3	4755	PsychophysicsToolbox
9.52	0.002	resp	3	4760	PsychophysicsToolbox
9.53	0.002	resp	3	4765	PsychophysicsToolbox
9.54	0.002	resp	3	4770	PsychophysicsToolbox
9.55	0.002	resp	3	4775	PsychophysicsToolbox
9.56	0.002	resp	3	4780	PsychophysicsToolbox
9.57	0.002	resp	3	4785	PsychophysicsToolbox
10.216	0.002	stim_on	4	5108	PsychophysicsToolbox
11.094	0.002	resp	3	5547	PsychophysicsToolbox
11.112	0.002	resp	3	5556	PsychophysicsToolbox
11.122	0.002	resp	3	5561	PsychophysicsToolbox
11.132	0.002	resp	3	5566	PsychophysicsToolbox
11.148	0.002	resp	3	5574	PsychophysicsToolbox
11.158	0.002	resp	3	5579	PsychophysicsToolbox
11.168	0.002	resp	3	5584	PsychophysicsToolbox
11.178	0.002	resp	3	5589	PsychophysicsToolbox
11.188	0.002	resp	3	5594	PsychophysicsToolbox
11.198	0.002	resp	3	5599	PsychophysicsToolbox
11.208	0.002	resp	3	5604	PsychophysicsToolbox
11.218	0.002	resp	3	5609	PsychophysicsToolbox
11.886	0.002	stim_on	4	5943	PsychophysicsToolbox
12.656	0.002	resp	3	6328	PsychophysicsToolbox
12.67	0.002	resp	3	6335	PsychophysicsToolbox
12.68	0.002	resp	3	6340	PsychophysicsToolbox
12.69	0.002	resp	3	6345	PsychophysicsToolbox
12.7	0.002	resp	3	6350	PsychophysicsToolbox
12.71	0.002	resp	3	6355	PsychophysicsToolbox
12.72	0.002	resp	3	6360	PsychophysicsToolbox
12.73	0.002	resp	3	6365	PsychophysicsToolbox
12.74	0.002	resp	3	6370	PsychophysicsToolbox
12.75	0.002	resp	3	6375	PsychophysicsToolbox
12.76	0.002	resp	3	6380	PsychophysicsToolbox
12.77	0.002	resp	3	6385	PsychophysicsToolbox
13.222	0.002	stim_on	4	6611	PsychophysicsToolbox
14.01	0.002	resp	3	7005	PsychophysicsToolbox
14.028	0.002	resp	3	7014	PsychophysicsToolbox
14.038	0.002	resp	3	7019	PsychophysicsToolbox
14.048	0.002	resp	3	7024	PsychophysicsToolbox
14.058	0.002	resp	3	7029	PsychophysicsToolbox
14.068	0.002	resp	3	7034	PsychophysicsToolbox
14.078	0.002	resp	3	7039	PsychophysicsToolbox
14.094	0.002	resp	3	7047	PsychophysicsToolbox
14.104	0.002	resp	3	7052	PsychophysicsToolbox
14.114	0.002	resp	3	7057	PsychophysicsToolbox
14.124	0.002	resp	3	7062	PsychophysicsToolbox
14.676	0.002	stim_on	4	7338	PsychophysicsToolbox
