onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.712	0.002	resp	3	856	PsychophysicsToolbox
1.73	0.002	resp	3	865	PsychophysicsToolbox
1.74	0.002	resp	3	870	PsychophysicsToolbox
1.75	0.002	resp	3	875	PsychophysicsToolbox
1.76	0.002	resp	3	880	PsychophysicsToolbox
1.77	0.002	resp	3	885	PsychophysicsToolbox
1.78	0.002	resp	3	890	PsychophysicsToolbox
1.79	0.002	resp	3	895	PsychophysicsToolbox
1.8	0.002	resp	3	900	PsychophysicsToolbox
1.81	0.002	resp	3	905	PsychophysicsToolbox
1.82	0.002	resp	3	910	PsychophysicsToolbox
1.836	0.002	resp	3	918	PsychophysicsToolbox
1.846	0.002	resp	3	923	PsychophysicsToolbox
1.856	0.002	resp	3	928	PsychophysicsToolbox
1.866	0.002	resp	3	933	PsychophysicsToolbox
1.876	0.002	resp	3	938	PsychophysicsToolbox
1.886	0.002	resp	3	943	PsychophysicsToolbox
1.896	0.002	resp	3	948	PsychophysicsToolbox
1.906	0.002	resp	3	953	PsychophysicsToolbox
1.916	0.002	resp	3	958	PsychophysicsToolbox
2.218	0.002	stim_on	4	1109	PsychophysicsToolbox
3.344	0.002	resp	3	1672	PsychophysicsToolbox
3.358	0.002	resp	3	1679	PsychophysicsToolbox
3.368	0.002	resp	3	1684	PsychophysicsToolbox
3.378	0.002	resp	3	1689	PsychophysicsToolbox
3.388	0.002	resp	3	1694	PsychophysicsToolbox
3.398	0.002	resp	3	1699	PsychophysicsToolbox
3.408	0.002	resp	3	1704	PsychophysicsToolbox
3.418	0.002	resp	3	1709	PsychophysicsToolbox
3.434	0.002	resp	3	1717	PsychophysicsToolbox
3.444	0.002	resp	3	1722	PsychophysicsToolbox
3.454	0.002	resp	3	1727	PsychophysicsToolbox
3.464	0.002	resp	3	1732	PsychophysicsToolbox
3.474	0.002	resp	3	1737	PsychophysicsToolbox
3.484	0.002	resp	3	1742	PsychophysicsToolbox
3.494	0.002	resp	3	1747	PsychophysicsToolbox
3.504	0.002	resp	3	1752	PsychophysicsToolbox
3.514	0.002	resp	3	1757	PsychophysicsToolbox
3.524	0.002	resp	3	1762	PsychophysicsToolbox
3.534	0.002	resp	3	1767	PsychophysicsToolbox
3.544	0.002	resp	3	1772	PsychophysicsToolbox
3.554	0.002	resp	3	1777	PsychophysicsToolbox
3.564	0.002	resp	3	1782	PsychophysicsToolbox
3.586	0.002	stim_on	4	1793	PsychophysicsToolbox
4.774	0.002	resp	3	2387	PsychophysicsToolbox
4.788	0.002	resp	3	2394	PsychophysicsToolbox
4.798	0.002	resp	3	2399	PsychophysicsToolbox
4.808	0.002	resp	3	2404	PsychophysicsToolbox
4.818	0.002	resp	3	2409	PsychophysicsToolbox
4.828	0.002	resp	3	2414	PsychophysicsToolbox
4.838	0.002	resp	3	2419	PsychophysicsToolbox
4.854	0.002	resp	3	2427	PsychophysicsToolbox
4.864	0.002	resp	3	2432	PsychophysicsToolbox
4.874	0.002	resp	3	2437	PsychophysicsToolbox
4.884	0.002	resp	3	2442	PsychophysicsToolbox
4.894	0.002	resp	3	2447	PsychophysicsToolbox
4.904	0.002	resp	3	2452	PsychophysicsToolbox
4.914	0.002	resp	3	2457	PsychophysicsToolbox
4.924	0.002	resp	3	2462	PsychophysicsToolbox
4.934	0.002	resp	3	2467	PsychophysicsToolbox
4.944	0.002	resp	3	2472	PsychophysicsToolbox
4.954	0.002	resp	3	2477	PsychophysicsToolbox
4.964	0.002	resp	3	2482	PsychophysicsToolbox
4.974	0.002	resp	3	2487	PsychophysicsToolbox
5.006	0.002	stim_on	4	2503	PsychophysicsToolbox
6.146	0.002	resp	3	3073	PsychophysicsToolbox
6.17	0.002	resp	3	3085	PsychophysicsToolbox
6.18	0.002	resp	3	3090	PsychophysicsToolbox
6.19	0.002	resp	3	3095	PsychophysicsToolbox
6.2	0.002	resp	3	3100	PsychophysicsToolbox
6.21	0.002	resp	3	3105	PsychophysicsToolbox
6.22	0.002	resp	3	3110	PsychophysicsToolbox
6.23	0.002	resp	3	3115	PsychophysicsToolbox
6.24	0.002	resp	3	3120	PsychophysicsToolbox
6.25	0.002	resp	3	3125	PsychophysicsToolbox
6.26	0.002	resp	3	3130	PsychophysicsToolbox
6.27	0.002	resp	3	3135	PsychophysicsToolbox
6.28	0.002	resp	3	3140	PsychophysicsToolbox
6.29	0.002	resp	3	3145	PsychophysicsToolbox
6.3	0.002	resp	3	3150	PsychophysicsToolbox
6.316	0.002	resp	3	3158	PsychophysicsToolbox
6.342	0.002	stim_on	4	3171	PsychophysicsToolbox
7.366	0.002	resp	3	3683	PsychophysicsToolbox
7.38	0.002	resp	3	3690	PsychophysicsToolbox
7.39	0.002	resp	3	3695	PsychophysicsToolbox
7.4	0.002	resp	3	3700	PsychophysicsToolbox
7.41	0.002	resp	3	3705	PsychophysicsToolbox
7.42	0.002	resp	3	3710	PsychophysicsToolbox
7.43	0.002	resp	3	3715	PsychophysicsToolbox
7.44	0.002	resp	3	3720	PsychophysicsToolbox
7.45	0.002	resp	3	3725	PsychophysicsToolbox
7.46	0.002	resp	3	3730	PsychophysicsToolbox
7.476	0.002	resp	3	3738	PsychophysicsToolbox
7.486	0.002	resp	3	3743	PsychophysicsToolbox
7.496	0.002	resp	3	3748	PsychophysicsToolbox
7.506	0.002	resp	3	3753	PsychophysicsToolbox
7.516	0.002	resp	3	3758	PsychophysicsToolbox
7.526	0.002	resp	3	3763	PsychophysicsToolbox
7.536	0.002	resp	3	3768	PsychophysicsToolbox
7.546	0.002	resp	3	3773	PsychophysicsToolbox
7.556	0.002	resp	3	3778	PsychophysicsToolbox
7.566	0.002	resp	3	3783	PsychophysicsToolbox
7.91	0.002	stim_on	4	3955	PsychophysicsToolbox
8.966	0.002	resp	3	4483	PsychophysicsToolbox
8.98	0.002	resp	3	4490	PsychophysicsToolbox
8.99	0.002	resp	3	4495	PsychophysicsToolbox
9.0	0.002	resp	3	4500	PsychophysicsToolbox
