onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.636	0.002	resp	3	818	PsychophysicsToolbox
1.65	0.002	resp	3	825	PsychophysicsToolbox
1.66	0.002	resp	3	830	PsychophysicsToolbox
1.67	0.002	resp	3	835	PsychophysicsToolbox
1.68	0.002	resp	3	840	PsychophysicsToolbox
1.69	0.002	resp	3	845	PsychophysicsToolbox
1.7	0.002	resp	3	850	PsychophysicsToolbox
1.71	0.002	resp	3	855	PsychophysicsToolbox
1.72	0.002	resp	3	860	PsychophysicsToolbox
1.73	0.002	resp	3	865	PsychophysicsToolbox
1.746	0.002	resp	3	873	PsychophysicsToolbox
1.756	0.002	resp	3	878	PsychophysicsToolbox
1.766	0.002	resp	3	883	PsychophysicsToolbox
1.776	0.002	resp	3	888	PsychophysicsToolbox
1.786	0.002	resp	3	893	PsychophysicsToolbox
1.796	0.002	resp	3	898	PsychophysicsToolbox
1.806	0.002	resp	3	903	PsychophysicsToolbox
1.816	0.002	resp	3	908	PsychophysicsToolbox
1.826	0.002	resp	3	913	PsychophysicsToolbox
1.836	0.002	resp	3	918	PsychophysicsToolbox
1.846	0.002	resp	3	923	PsychophysicsToolbox
2.202	0.002	stim_on	4	1101	PsychophysicsToolbox
3.166	0.002	resp	3	1583	PsychophysicsToolbox
3.18	0.002	resp	3	1590	PsychophysicsToolbox
3.19	0.002	resp	3	1595	PsychophysicsToolbox
3.2	0.002	resp	3	1600	PsychophysicsToolbox
3.21	0.002	resp	3	1605	PsychophysicsToolbox
3.22	0.002	resp	3	1610	PsychophysicsToolbox
3.23	0.002	resp	3	1615	PsychophysicsToolbox
3.24	0.002	resp	3	1620	PsychophysicsToolbox
3.256	0.002	resp	3	1628	PsychophysicsToolbox
3.266	0.002	resp	3	1633	PsychophysicsToolbox
3.276	0.002	resp	3	1638	PsychophysicsToolbox
3.286	0.002	resp	3	1643	PsychophysicsToolbox
3.296	0.002	resp	3	1648	PsychophysicsToolbox
3.306	0.002	resp	3	1653	PsychophysicsToolbox
3.316	0.002	resp	3	1658	PsychophysicsToolbox
3.326	0.002	resp	3	1663	PsychophysicsToolbox
3.336	0.002	resp	3	1668	PsychophysicsToolbox
3.346	0.002	resp	3	1673	PsychophysicsToolbox
3.356	0.002	resp	3	1678	PsychophysicsToolbox
3.366	0.002	resp	3	1683	PsychophysicsToolbox
3.376	0.002	resp	3	1688	PsychophysicsToolbox
3.386	0.002	resp	3	1693	PsychophysicsToolbox
3.396	0.002	resp	3	1698	PsychophysicsToolbox
3.638	0.002	stim_on	4	1819	PsychophysicsToolbox
4.616	0.002	resp	3	2308	PsychophysicsToolbox
4.63	0.002	resp	3	2315	PsychophysicsToolbox
4.64	0.002	resp	3	2320	PsychophysicsToolbox
4.65	0.002	resp	3	2325	PsychophysicsToolbox
4.66	0.002	resp	3	2330	PsychophysicsToolbox
4.67	0.002	resp	3	2335	PsychophysicsToolbox
4.68	0.002	resp	3	2340	PsychophysicsToolbox
4.69	0.002	resp	3	2345	PsychophysicsToolbox
4.7	0.002	resp	3	2350	PsychophysicsToolbox
4.71	0.002	resp	3	2355	PsychophysicsToolbox
4.72	0.002	resp	3	2360	PsychophysicsToolbox
4.73	0.002	resp	3	2365	PsychophysicsToolbox
4.74	0.002	resp	3	2370	PsychophysicsToolbox
4.75	0.002	resp	3	2375	PsychophysicsToolbox
4.76	0.002	resp	3	2380	PsychophysicsToolbox
4.77	0.002	resp	3	2385	PsychophysicsToolbox
4.786	0.002	resp	3	2393	PsychophysicsToolbox
4.796	0.002	resp	3	2398	PsychophysicsToolbox
4.806	0.002	resp	3	2403	PsychophysicsToolbox
4.816	0.002	resp	3	2408	PsychophysicsToolbox
4.826	0.002	resp	3	2413	PsychophysicsToolbox
4.836	0.002	resp	3	2418	PsychophysicsToolbox
4.846	0.002	resp	3	2423	PsychophysicsToolbox
4.856	0.002	resp	3	2428	PsychophysicsToolbox
4.866	0.002	resp	3	2433	PsychophysicsToolbox
4.876	0.002	resp	3	2438	PsychophysicsToolbox
4.886	0.002	resp	3	2443	PsychophysicsToolbox
4.896	0.002	resp	3	2448	PsychophysicsToolbox
4.906	0.002	resp	3	2453	PsychophysicsToolbox
5.19	0.002	stim_on	4	2595	PsychophysicsToolbox
6.156	0.002	resp	3	3078	PsychophysicsToolbox
6.174	0.002	resp	3	3087	PsychophysicsToolbox
6.184	0.002	resp	3	3092	PsychophysicsToolbox
6.194	0.002	resp	3	3097	PsychophysicsToolbox
6.204	0.002	resp	3	3102	PsychophysicsToolbox
6.214	0.002	resp	3	3107	PsychophysicsToolbox
6.224	0.002	resp	3	3112	PsychophysicsToolbox
6.24	0.002	resp	3	3120	PsychophysicsToolbox
6.25	0.002	resp	3	3125	PsychophysicsToolbox
6.26	0.002	resp	3	3130	PsychophysicsToolbox
6.27	0.002	resp	3	3135	PsychophysicsToolbox
6.28	0.002	resp	3	3140	PsychophysicsToolbox
6.29	0.002	resp	3	3145	PsychophysicsToolbox
6.3	0.002	resp	3	3150	PsychophysicsToolbox
6.31	0.002	resp	3	3155	PsychophysicsToolbox
6.32	0.002	resp	3	3160	PsychophysicsToolbox
6.33	0.002	resp	3	3165	PsychophysicsToolbox
6.34	0.002	resp	3	3170	PsychophysicsToolbox
6.35	0.002	resp	3	3175	PsychophysicsToolbox
6.36	0.002	resp	3	3180	PsychophysicsToolbox
6.37	0.002	resp	3	3185	PsychophysicsToolbox
6.386	0.002	resp	3	3193	PsychophysicsToolbox
6.396	0.002	resp	3	3198	PsychophysicsToolbox
6.406	0.002	resp	3	3203	PsychophysicsToolbox
6.416	0.002	resp	3	3208	PsychophysicsToolbox
6.426	0.002	resp	3	3213	PsychophysicsToolbox
6.894	0.002	stim_on	4	3447	PsychophysicsToolbox
7.848	0.002	resp	3	3924	PsychophysicsToolbox
7.862	0.002	resp	3	3931	PsychophysicsToolbox
7.872	0.002	resp	3	3936	PsychophysicsToolbox
7.882	0.002	resp	3	3941	PsychophysicsToolbox
