onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.001	begin	1	0	PsychophysicsToolbox
0.499	0.001	stim_on	4	499	PsychophysicsToolbox
1.697	0.001	resp	3	1697	PsychophysicsToolbox
1.703	0.001	resp	3	1703	PsychophysicsToolbox
1.708	0.001	resp	3	1708	PsychophysicsToolbox
1.713	0.001	resp	3	1713	PsychophysicsToolbox
1.718	0.001	resp	3	1718	PsychophysicsToolbox
1.724	0.001	resp	3	1724	PsychophysicsToolbox
1.729	0.001	resp	3	1729	PsychophysicsToolbox
1.734	0.001	resp	3	1734	PsychophysicsToolbox
1.739	0.001	resp	3	1739	PsychophysicsToolbox
1.744	0.001	resp	3	1744	PsychophysicsToolbox
1.754	0.001	resp	3	1754	PsychophysicsToolbox
1.759	0.001	resp	3	1759	PsychophysicsToolbox
1.764	0.001	resp	3	1764	PsychophysicsToolbox
1.769	0.001	resp	3	1769	PsychophysicsToolbox
1.774	0.001	resp	3	1774	PsychophysicsToolbox
1.779	0.001	resp	3	1779	PsychophysicsToolbox
1.784	0.001	resp	3	1784	PsychophysicsToolbox
1.789	0.001	resp	3	1789	PsychophysicsToolbox
1.794	0.001	resp	3	1794	PsychophysicsToolbox
1.799	0.001	resp	3	1799	PsychophysicsToolbox
1.809	0.001	resp	3	1809	PsychophysicsToolbox
1.814	0.001	resp	3	1814	PsychophysicsToolbox
1.819	0.001	resp	3	1819	PsychophysicsToolbox
2.035	0.001	stim_on	4	2035	PsychophysicsToolbox
3.062	0.001	resp	3	3062	PsychophysicsToolbox
3.068	0.001	resp	3	3068	PsychophysicsToolbox
3.074	0.001	resp	3	3074	PsychophysicsToolbox
3.079	0.001	resp	3	3079	PsychophysicsToolbox
3.084	0.001	resp	3	3084	PsychophysicsToolbox
3.089	0.001	resp	3	3089	PsychophysicsToolbox
3.094	0.001	resp	3	3094	PsychophysicsToolbox
3.099	0.001	resp	3	3099	PsychophysicsToolbox
3.104	0.001	resp	3	3104	PsychophysicsToolbox
3.109	0.001	resp	3	3109	PsychophysicsToolbox
3.119	0.001	resp	3	3119	PsychophysicsToolbox
3.124	0.001	resp	3	3124	PsychophysicsToolbox
3.129	0.001	resp	3	3129	PsychophysicsToolbox
3.134	0.001	resp	3	3134	PsychophysicsToolbox
3.139	0.001	resp	3	3139	PsychophysicsToolbox
3.144	0.001	resp	3	3144	PsychophysicsToolbox
3.149	0.001	resp	3	3149	PsychophysicsToolbox
3.154	0.001	resp	3	3154	PsychophysicsToolbox
3.159	0.001	resp	3	3159	PsychophysicsToolbox
3.164	0.001	resp	3	3164	PsychophysicsToolbox
3.174	0.001	resp	3	3174	PsychophysicsToolbox
3.179	0.001	resp	3	3179	PsychophysicsToolbox
3.184	0.001	resp	3	3184	PsychophysicsToolbox
3.189	0.001	resp	3	3189	PsychophysicsToolbox
3.194	0.001	resp	3	3194	PsychophysicsToolbox
3.354	0.001	stim_on	4	3354	PsychophysicsToolbox
4.385	0.001	resp	3	4385	PsychophysicsToolbox
4.391	0.001	resp	3	4391	PsychophysicsToolbox
4.396	0.001	resp	3	4396	PsychophysicsToolbox
4.401	0.001	resp	3	4401	PsychophysicsToolbox
4.406	0.001	resp	3	4406	PsychophysicsToolbox
4.411	0.001	resp	3	4411	PsychophysicsToolbox
4.416	0.001	resp	3	4416	PsychophysicsToolbox
4.422	0.001	resp	3	4422	PsychophysicsToolbox
