onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.356	0.002	resp	3	678	PsychophysicsToolbox
1.37	0.002	resp	3	685	PsychophysicsToolbox
1.38	0.002	resp	3	690	PsychophysicsToolbox
1.39	0.002	resp	3	695	PsychophysicsToolbox
1.4	0.002	resp	3	700	PsychophysicsToolbox
1.41	0.002	resp	3	705	PsychophysicsToolbox
1.426	0.002	resp	3	713	PsychophysicsToolbox
1.436	0.002	resp	3	718	PsychophysicsToolbox
1.446	0.002	resp	3	723	PsychophysicsToolbox
1.918	0.002	stim_on	4	959	PsychophysicsToolbox
2.794	0.002	resp	3	1397	PsychophysicsToolbox
2.812	0.002	resp	3	1406	PsychophysicsToolbox
2.822	0.002	resp	3	1411	PsychophysicsToolbox
2.832	0.002	resp	3	1416	PsychophysicsToolbox
2.848	0.002	resp	3	1424	PsychophysicsToolbox
2.858	0.002	resp	3	1429	PsychophysicsToolbox
2.868	0.002	resp	3	1434	PsychophysicsToolbox
2.878	0.002	resp	3	1439	PsychophysicsToolbox
2.888	0.002	resp	3	1444	PsychophysicsToolbox
2.898	0.002	resp	3	1449	PsychophysicsToolbox
3.454	0.002	stim_on	4	1727	PsychophysicsToolbox
4.25	0.002	resp	3	2125	PsychophysicsToolbox
4.264	0.002	resp	3	2132	PsychophysicsToolbox
4.274	0.002	resp	3	2137	PsychophysicsToolbox
4.284	0.002	resp	3	2142	PsychophysicsToolbox
4.294	0.002	resp	3	2147	PsychophysicsToolbox
4.304	0.002	resp	3	2152	PsychophysicsToolbox
4.314	0.002	resp	3	2157	PsychophysicsToolbox
4.324	0.002	resp	3	2162	PsychophysicsToolbox
4.334	0.002	resp	3	2167	PsychophysicsToolbox
4.344	0.002	resp	3	2172	PsychophysicsToolbox
5.172	0.002	stim_on	4	2586	PsychophysicsToolbox
6.016	0.002	resp	3	3008	PsychophysicsToolbox
6.03	0.002	resp	3	3015	PsychophysicsToolbox
6.04	0.002	resp	3	3020	PsychophysicsToolbox
6.05	0.002	resp	3	3025	PsychophysicsToolbox
6.06	0.002	resp	3	3030	PsychophysicsToolbox
6.07	0.002	resp	3	3035	PsychophysicsToolbox
6.08	0.002	resp	3	3040	PsychophysicsToolbox
6.09	0.002	resp	3	3045	PsychophysicsToolbox
6.1	0.002	resp	3	3050	PsychophysicsToolbox
6.11	0.002	resp	3	3055	PsychophysicsToolbox
6.12	0.002	resp	3	3060	PsychophysicsToolbox
6.13	0.002	resp	3	3065	PsychophysicsToolbox
6.776	0.002	stim_on	4	3388	PsychophysicsToolbox
7.612	0.002	resp	3	3806	PsychophysicsToolbox
7.626	0.002	resp	3	3813	PsychophysicsToolbox
7.636	0.002	resp	3	3818	PsychophysicsToolbox
7.646	0.002	resp	3	3823	PsychophysicsToolbox
7.656	0.002	resp	3	3828	PsychophysicsToolbox
7.666	0.002	resp	3	3833	PsychophysicsToolbox
7.676	0.002	resp	3	3838	PsychophysicsToolbox
7.686	0.002	resp	3	3843	PsychophysicsToolbox
7.696	0.002	resp	3	3848	PsychophysicsToolbox
7.706	0.002	resp	3	3853	PsychophysicsToolbox
7.722	0.002	resp	3	3861	PsychophysicsToolbox
7.732	0.002	resp	3	3866	PsychophysicsToolbox
8.428	0.002	stim_on	4	4214	PsychophysicsToolbox
9.232	0.002	resp	3	4616	PsychophysicsToolbox
9.25	0.002	resp	3	4625	PsychophysicsToolbox
9.26	0.002	resp	3	4630	PsychophysicsToolbox
9.27	0.002	resp	3	4635	PsychophysicsToolbox
9.28	0.002	resp	3	4640	PsychophysicsToolbox
9.29	0.002	resp	3	4645	PsychophysicsToolbox
9.3	0.002	resp	3	4650	PsychophysicsToolbox
9.31	0.002	resp	3	4655	PsychophysicsToolbox
9.32	0.002	resp	3	4660	PsychophysicsToolbox
9.33	0.002	resp	3	4665	PsychophysicsToolbox
9.34	0.002	resp	3	4670	PsychophysicsToolbox
9.916	0.002	stim_on	4	4958	PsychophysicsToolbox
10.662	0.002	resp	3	5331	PsychophysicsToolbox
10.676	0.002	resp	3	5338	PsychophysicsToolbox
10.686	0.002	resp	3	5343	PsychophysicsToolbox
10.696	0.002	resp	3	5348	PsychophysicsToolbox
10.706	0.002	resp	3	5353	PsychophysicsToolbox
10.722	0.002	resp	3	5361	PsychophysicsToolbox
10.732	0.002	resp	3	5366	PsychophysicsToolbox
10.742	0.002	resp	3	5371	PsychophysicsToolbox
10.752	0.002	resp	3	5376	PsychophysicsToolbox
10.762	0.002	resp	3	5381	PsychophysicsToolbox
11.418	0.002	stim_on	4	5709	PsychophysicsToolbox
12.192	0.002	resp	3	6096	PsychophysicsToolbox
12.21	0.002	resp	3	6105	PsychophysicsToolbox
12.22	0.002	resp	3	6110	PsychophysicsToolbox
12.23	0.002	resp	3	6115	PsychophysicsToolbox
12.24	0.002	resp	3	6120	PsychophysicsToolbox
12.256	0.002	resp	3	6128	PsychophysicsToolbox
12.266	0.002	resp	3	6133	PsychophysicsToolbox
12.276	0.002	resp	3	6138	PsychophysicsToolbox
12.954	0.002	stim_on	4	6477	PsychophysicsToolbox
13.746	0.002	resp	3	6873	PsychophysicsToolbox
13.764	0.002	resp	3	6882	PsychophysicsToolbox
13.774	0.002	resp	3	6887	PsychophysicsToolbox
13.784	0.002	resp	3	6892	PsychophysicsToolbox
13.794	0.002	resp	3	6897	PsychophysicsToolbox
13.81	0.002	resp	3	6905	PsychophysicsToolbox
13.82	0.002	resp	3	6910	PsychophysicsToolbox
13.83	0.002	resp	3	6915	PsychophysicsToolbox
13.84	0.002	resp	3	6920	PsychophysicsToolbox
13.85	0.002	resp	3	6925	PsychophysicsToolbox
13.86	0.002	resp	3	6930	PsychophysicsToolbox
14.374	0.002	stim_on	4	7187	PsychophysicsToolbox
15.216	0.002	resp	3	7608	PsychophysicsToolbox
15.23	0.002	resp	3	7615	PsychophysicsToolbox
15.24	0.002	resp	3	7620	PsychophysicsToolbox
15.25	0.002	resp	3	7625	PsychophysicsToolbox
