onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.472	0.002	resp	3	736	PsychophysicsToolbox
1.478	0.002	resp	3	739	PsychophysicsToolbox
1.492	0.002	resp	3	746	PsychophysicsToolbox
1.502	0.002	resp	3	751	PsychophysicsToolbox
1.512	0.002	resp	3	756	PsychophysicsToolbox
1.528	0.002	resp	3	764	PsychophysicsToolbox
1.538	0.002	resp	3	769	PsychophysicsToolbox
1.548	0.002	resp	3	774	PsychophysicsToolbox
1.558	0.002	resp	3	779	PsychophysicsToolbox
1.568	0.002	resp	3	784	PsychophysicsToolbox
1.578	0.002	resp	3	789	PsychophysicsToolbox
1.588	0.002	resp	3	794	PsychophysicsToolbox
1.598	0.002	resp	3	799	PsychophysicsToolbox
1.608	0.002	resp	3	804	PsychophysicsToolbox
2.202	0.002	stim_on	4	1101	PsychophysicsToolbox
3.068	0.002	resp	3	1534	PsychophysicsToolbox
3.088	0.002	resp	3	1544	PsychophysicsToolbox
3.098	0.002	resp	3	1549	PsychophysicsToolbox
3.108	0.002	resp	3	1554	PsychophysicsToolbox
3.118	0.002	resp	3	1559	PsychophysicsToolbox
3.128	0.002	resp	3	1564	PsychophysicsToolbox
3.138	0.002	resp	3	1569	PsychophysicsToolbox
3.148	0.002	resp	3	1574	PsychophysicsToolbox
3.158	0.002	resp	3	1579	PsychophysicsToolbox
3.168	0.002	resp	3	1584	PsychophysicsToolbox
3.178	0.002	resp	3	1589	PsychophysicsToolbox
3.188	0.002	resp	3	1594	PsychophysicsToolbox
3.198	0.002	resp	3	1599	PsychophysicsToolbox
3.208	0.002	resp	3	1604	PsychophysicsToolbox
3.218	0.002	resp	3	1609	PsychophysicsToolbox
3.738	0.002	stim_on	4	1869	PsychophysicsToolbox
4.692	0.002	resp	3	2346	PsychophysicsToolbox
4.706	0.002	resp	3	2353	PsychophysicsToolbox
4.716	0.002	resp	3	2358	PsychophysicsToolbox
4.732	0.002	resp	3	2366	PsychophysicsToolbox
4.742	0.002	resp	3	2371	PsychophysicsToolbox
4.752	0.002	resp	3	2376	PsychophysicsToolbox
4.762	0.002	resp	3	2381	PsychophysicsToolbox
4.772	0.002	resp	3	2386	PsychophysicsToolbox
4.782	0.002	resp	3	2391	PsychophysicsToolbox
4.792	0.002	resp	3	2396	PsychophysicsToolbox
4.802	0.002	resp	3	2401	PsychophysicsToolbox
4.812	0.002	resp	3	2406	PsychophysicsToolbox
4.822	0.002	resp	3	2411	PsychophysicsToolbox
4.832	0.002	resp	3	2416	PsychophysicsToolbox
4.842	0.002	resp	3	2421	PsychophysicsToolbox
5.258	0.002	stim_on	4	2629	PsychophysicsToolbox
6.11	0.002	resp	3	3055	PsychophysicsToolbox
6.122	0.002	resp	3	3061	PsychophysicsToolbox
6.132	0.002	resp	3	3066	PsychophysicsToolbox
6.148	0.002	resp	3	3074	PsychophysicsToolbox
6.158	0.002	resp	3	3079	PsychophysicsToolbox
6.168	0.002	resp	3	3084	PsychophysicsToolbox
6.178	0.002	resp	3	3089	PsychophysicsToolbox
6.188	0.002	resp	3	3094	PsychophysicsToolbox
6.198	0.002	resp	3	3099	PsychophysicsToolbox
6.208	0.002	resp	3	3104	PsychophysicsToolbox
6.218	0.002	resp	3	3109	PsychophysicsToolbox
6.228	0.002	resp	3	3114	PsychophysicsToolbox
6.238	0.002	resp	3	3119	PsychophysicsToolbox
6.248	0.002	resp	3	3124	PsychophysicsToolbox
6.66	0.002	stim_on	4	3330	PsychophysicsToolbox
7.566	0.002	resp	3	3783	PsychophysicsToolbox
7.584	0.002	resp	3	3792	PsychophysicsToolbox
7.594	0.002	resp	3	3797	PsychophysicsToolbox
7.604	0.002	resp	3	3802	PsychophysicsToolbox
7.614	0.002	resp	3	3807	PsychophysicsToolbox
7.624	0.002	resp	3	3812	PsychophysicsToolbox
7.634	0.002	resp	3	3817	PsychophysicsToolbox
7.644	0.002	resp	3	3822	PsychophysicsToolbox
7.654	0.002	resp	3	3827	PsychophysicsToolbox
7.664	0.002	resp	3	3832	PsychophysicsToolbox
7.674	0.002	resp	3	3837	PsychophysicsToolbox
7.684	0.002	resp	3	3842	PsychophysicsToolbox
7.694	0.002	resp	3	3847	PsychophysicsToolbox
7.704	0.002	resp	3	3852	PsychophysicsToolbox
7.714	0.002	resp	3	3857	PsychophysicsToolbox
7.724	0.002	resp	3	3862	PsychophysicsToolbox
8.162	0.002	stim_on	4	4081	PsychophysicsToolbox
8.98	0.002	resp	3	4490	PsychophysicsToolbox
8.994	0.002	resp	3	4497	PsychophysicsToolbox
9.004	0.002	resp	3	4502	PsychophysicsToolbox
9.014	0.002	resp	3	4507	PsychophysicsToolbox
9.024	0.002	resp	3	4512	PsychophysicsToolbox
9.034	0.002	resp	3	4517	PsychophysicsToolbox
9.044	0.002	resp	3	4522	PsychophysicsToolbox
9.06	0.002	resp	3	4530	PsychophysicsToolbox
9.07	0.002	resp	3	4535	PsychophysicsToolbox
9.08	0.002	resp	3	4540	PsychophysicsToolbox
9.09	0.002	resp	3	4545	PsychophysicsToolbox
9.1	0.002	resp	3	4550	PsychophysicsToolbox
9.11	0.002	resp	3	4555	PsychophysicsToolbox
9.12	0.002	resp	3	4560	PsychophysicsToolbox
9.13	0.002	resp	3	4565	PsychophysicsToolbox
9.732	0.002	stim_on	4	4866	PsychophysicsToolbox
10.558	0.002	resp	3	5279	PsychophysicsToolbox
10.57	0.002	resp	3	5285	PsychophysicsToolbox
10.58	0.002	resp	3	5290	PsychophysicsToolbox
10.596	0.002	resp	3	5298	PsychophysicsToolbox
10.606	0.002	resp	3	5303	PsychophysicsToolbox
10.616	0.002	resp	3	5308	PsychophysicsToolbox
10.626	0.002	resp	3	5313	PsychophysicsToolbox
10.636	0.002	resp	3	5318	PsychophysicsToolbox
10.646	0.002	resp	3	5323	PsychophysicsToolbox
10.656	0.002	resp	3	5328	PsychophysicsToolbox
10.666	0.002	resp	3	5333	PsychophysicsToolbox
10.676	0.002	resp	3	5338	PsychophysicsToolbox
