onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.636	0.002	resp	3	818	PsychophysicsToolbox
1.648	0.002	resp	3	824	PsychophysicsToolbox
1.664	0.002	resp	3	832	PsychophysicsToolbox
1.674	0.002	resp	3	837	PsychophysicsToolbox
1.684	0.002	resp	3	842	PsychophysicsToolbox
1.694	0.002	resp	3	847	PsychophysicsToolbox
1.704	0.002	resp	3	852	PsychophysicsToolbox
1.714	0.002	resp	3	857	PsychophysicsToolbox
1.724	0.002	resp	3	862	PsychophysicsToolbox
1.734	0.002	resp	3	867	PsychophysicsToolbox
1.744	0.002	resp	3	872	PsychophysicsToolbox
1.754	0.002	resp	3	877	PsychophysicsToolbox
1.764	0.002	resp	3	882	PsychophysicsToolbox
1.774	0.002	resp	3	887	PsychophysicsToolbox
1.784	0.002	resp	3	892	PsychophysicsToolbox
1.794	0.002	resp	3	897	PsychophysicsToolbox
1.81	0.002	resp	3	905	PsychophysicsToolbox
2.2	0.002	stim_on	4	1100	PsychophysicsToolbox
3.372	0.002	resp	3	1686	PsychophysicsToolbox
3.384	0.002	resp	3	1692	PsychophysicsToolbox
3.4	0.002	resp	3	1700	PsychophysicsToolbox
3.41	0.002	resp	3	1705	PsychophysicsToolbox
3.42	0.002	resp	3	1710	PsychophysicsToolbox
3.43	0.002	resp	3	1715	PsychophysicsToolbox
3.44	0.002	resp	3	1720	PsychophysicsToolbox
3.45	0.002	resp	3	1725	PsychophysicsToolbox
3.46	0.002	resp	3	1730	PsychophysicsToolbox
3.47	0.002	resp	3	1735	PsychophysicsToolbox
3.48	0.002	resp	3	1740	PsychophysicsToolbox
3.49	0.002	resp	3	1745	PsychophysicsToolbox
3.5	0.002	resp	3	1750	PsychophysicsToolbox
3.51	0.002	resp	3	1755	PsychophysicsToolbox
3.52	0.002	resp	3	1760	PsychophysicsToolbox
3.53	0.002	resp	3	1765	PsychophysicsToolbox
3.546	0.002	resp	3	1773	PsychophysicsToolbox
3.556	0.002	resp	3	1778	PsychophysicsToolbox
3.736	0.002	stim_on	4	1868	PsychophysicsToolbox
4.92	0.002	resp	3	2460	PsychophysicsToolbox
4.934	0.002	resp	3	2467	PsychophysicsToolbox
4.944	0.002	resp	3	2472	PsychophysicsToolbox
4.954	0.002	resp	3	2477	PsychophysicsToolbox
4.964	0.002	resp	3	2482	PsychophysicsToolbox
4.974	0.002	resp	3	2487	PsychophysicsToolbox
4.984	0.002	resp	3	2492	PsychophysicsToolbox
4.994	0.002	resp	3	2497	PsychophysicsToolbox
5.004	0.002	resp	3	2502	PsychophysicsToolbox
5.014	0.002	resp	3	2507	PsychophysicsToolbox
5.024	0.002	resp	3	2512	PsychophysicsToolbox
5.034	0.002	resp	3	2517	PsychophysicsToolbox
5.044	0.002	resp	3	2522	PsychophysicsToolbox
5.054	0.002	resp	3	2527	PsychophysicsToolbox
5.064	0.002	resp	3	2532	PsychophysicsToolbox
5.08	0.002	resp	3	2540	PsychophysicsToolbox
5.09	0.002	resp	3	2545	PsychophysicsToolbox
5.1	0.002	resp	3	2550	PsychophysicsToolbox
5.11	0.002	resp	3	2555	PsychophysicsToolbox
5.256	0.002	stim_on	4	2628	PsychophysicsToolbox
6.32	0.002	resp	3	3160	PsychophysicsToolbox
6.332	0.002	resp	3	3166	PsychophysicsToolbox
6.342	0.002	resp	3	3171	PsychophysicsToolbox
6.358	0.002	resp	3	3179	PsychophysicsToolbox
6.368	0.002	resp	3	3184	PsychophysicsToolbox
6.378	0.002	resp	3	3189	PsychophysicsToolbox
6.388	0.002	resp	3	3194	PsychophysicsToolbox
6.398	0.002	resp	3	3199	PsychophysicsToolbox
6.408	0.002	resp	3	3204	PsychophysicsToolbox
6.418	0.002	resp	3	3209	PsychophysicsToolbox
6.428	0.002	resp	3	3214	PsychophysicsToolbox
6.438	0.002	resp	3	3219	PsychophysicsToolbox
6.448	0.002	resp	3	3224	PsychophysicsToolbox
6.458	0.002	resp	3	3229	PsychophysicsToolbox
6.468	0.002	resp	3	3234	PsychophysicsToolbox
6.478	0.002	resp	3	3239	PsychophysicsToolbox
6.488	0.002	resp	3	3244	PsychophysicsToolbox
6.658	0.002	stim_on	4	3329	PsychophysicsToolbox
7.858	0.002	resp	3	3929	PsychophysicsToolbox
7.87	0.002	resp	3	3935	PsychophysicsToolbox
7.88	0.002	resp	3	3940	PsychophysicsToolbox
7.896	0.002	resp	3	3948	PsychophysicsToolbox
7.906	0.002	resp	3	3953	PsychophysicsToolbox
7.916	0.002	resp	3	3958	PsychophysicsToolbox
7.926	0.002	resp	3	3963	PsychophysicsToolbox
7.936	0.002	resp	3	3968	PsychophysicsToolbox
7.946	0.002	resp	3	3973	PsychophysicsToolbox
7.956	0.002	resp	3	3978	PsychophysicsToolbox
7.966	0.002	resp	3	3983	PsychophysicsToolbox
7.976	0.002	resp	3	3988	PsychophysicsToolbox
7.986	0.002	resp	3	3993	PsychophysicsToolbox
7.996	0.002	resp	3	3998	PsychophysicsToolbox
8.006	0.002	resp	3	4003	PsychophysicsToolbox
8.016	0.002	resp	3	4008	PsychophysicsToolbox
8.032	0.002	resp	3	4016	PsychophysicsToolbox
8.042	0.002	resp	3	4021	PsychophysicsToolbox
8.162	0.002	stim_on	4	4081	PsychophysicsToolbox
9.242	0.002	resp	3	4621	PsychophysicsToolbox
9.26	0.002	resp	3	4630	PsychophysicsToolbox
9.27	0.002	resp	3	4635	PsychophysicsToolbox
9.28	0.002	resp	3	4640	PsychophysicsToolbox
9.29	0.002	resp	3	4645	PsychophysicsToolbox
9.3	0.002	resp	3	4650	PsychophysicsToolbox
9.31	0.002	resp	3	4655	PsychophysicsToolbox
9.32	0.002	resp	3	4660	PsychophysicsToolbox
9.33	0.002	resp	3	4665	PsychophysicsToolbox
9.34	0.002	resp	3	4670	PsychophysicsToolbox
9.356	0.002	resp	3	4678	PsychophysicsToolbox
9.366	0.002	resp	3	4683	PsychophysicsToolbox
9.376	0.002	resp	3	4688	PsychophysicsToolbox
