onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.508	0.002	resp	3	754	PsychophysicsToolbox
1.526	0.002	resp	3	763	PsychophysicsToolbox
1.536	0.002	resp	3	768	PsychophysicsToolbox
1.546	0.002	resp	3	773	PsychophysicsToolbox
1.556	0.002	resp	3	778	PsychophysicsToolbox
1.566	0.002	resp	3	783	PsychophysicsToolbox
1.582	0.002	resp	3	791	PsychophysicsToolbox
1.592	0.002	resp	3	796	PsychophysicsToolbox
1.602	0.002	resp	3	801	PsychophysicsToolbox
1.868	0.002	stim_on	4	934	PsychophysicsToolbox
2.804	0.002	resp	3	1402	PsychophysicsToolbox
2.822	0.002	resp	3	1411	PsychophysicsToolbox
2.832	0.002	resp	3	1416	PsychophysicsToolbox
2.842	0.002	resp	3	1421	PsychophysicsToolbox
2.852	0.002	resp	3	1426	PsychophysicsToolbox
2.862	0.002	resp	3	1431	PsychophysicsToolbox
2.878	0.002	resp	3	1439	PsychophysicsToolbox
2.888	0.002	resp	3	1444	PsychophysicsToolbox
2.898	0.002	resp	3	1449	PsychophysicsToolbox
2.908	0.002	resp	3	1454	PsychophysicsToolbox
2.918	0.002	resp	3	1459	PsychophysicsToolbox
2.928	0.002	resp	3	1464	PsychophysicsToolbox
2.938	0.002	resp	3	1469	PsychophysicsToolbox
2.948	0.002	resp	3	1474	PsychophysicsToolbox
2.958	0.002	resp	3	1479	PsychophysicsToolbox
2.968	0.002	resp	3	1484	PsychophysicsToolbox
3.42	0.002	stim_on	4	1710	PsychophysicsToolbox
4.324	0.002	resp	3	2162	PsychophysicsToolbox
4.342	0.002	resp	3	2171	PsychophysicsToolbox
4.352	0.002	resp	3	2176	PsychophysicsToolbox
4.362	0.002	resp	3	2181	PsychophysicsToolbox
4.372	0.002	resp	3	2186	PsychophysicsToolbox
4.382	0.002	resp	3	2191	PsychophysicsToolbox
4.392	0.002	resp	3	2196	PsychophysicsToolbox
4.402	0.002	resp	3	2201	PsychophysicsToolbox
4.418	0.002	resp	3	2209	PsychophysicsToolbox
4.428	0.002	resp	3	2214	PsychophysicsToolbox
4.438	0.002	resp	3	2219	PsychophysicsToolbox
4.448	0.002	resp	3	2224	PsychophysicsToolbox
4.458	0.002	resp	3	2229	PsychophysicsToolbox
4.468	0.002	resp	3	2234	PsychophysicsToolbox
4.478	0.002	resp	3	2239	PsychophysicsToolbox
4.824	0.002	stim_on	4	2412	PsychophysicsToolbox
5.932	0.002	resp	3	2966	PsychophysicsToolbox
5.95	0.002	resp	3	2975	PsychophysicsToolbox
5.96	0.002	resp	3	2980	PsychophysicsToolbox
5.97	0.002	resp	3	2985	PsychophysicsToolbox
5.98	0.002	resp	3	2990	PsychophysicsToolbox
5.99	0.002	resp	3	2995	PsychophysicsToolbox
6.006	0.002	resp	3	3003	PsychophysicsToolbox
6.016	0.002	resp	3	3008	PsychophysicsToolbox
6.026	0.002	resp	3	3013	PsychophysicsToolbox
6.036	0.002	resp	3	3018	PsychophysicsToolbox
6.046	0.002	resp	3	3023	PsychophysicsToolbox
6.292	0.002	stim_on	4	3146	PsychophysicsToolbox
7.34	0.002	resp	3	3670	PsychophysicsToolbox
7.358	0.002	resp	3	3679	PsychophysicsToolbox
7.368	0.002	resp	3	3684	PsychophysicsToolbox
7.378	0.002	resp	3	3689	PsychophysicsToolbox
7.388	0.002	resp	3	3694	PsychophysicsToolbox
7.404	0.002	resp	3	3702	PsychophysicsToolbox
7.414	0.002	resp	3	3707	PsychophysicsToolbox
7.424	0.002	resp	3	3712	PsychophysicsToolbox
7.434	0.002	resp	3	3717	PsychophysicsToolbox
7.444	0.002	resp	3	3722	PsychophysicsToolbox
7.454	0.002	resp	3	3727	PsychophysicsToolbox
7.464	0.002	resp	3	3732	PsychophysicsToolbox
7.846	0.002	stim_on	4	3923	PsychophysicsToolbox
8.772	0.002	resp	3	4386	PsychophysicsToolbox
8.79	0.002	resp	3	4395	PsychophysicsToolbox
8.8	0.002	resp	3	4400	PsychophysicsToolbox
8.81	0.002	resp	3	4405	PsychophysicsToolbox
8.826	0.002	resp	3	4413	PsychophysicsToolbox
8.836	0.002	resp	3	4418	PsychophysicsToolbox
8.846	0.002	resp	3	4423	PsychophysicsToolbox
8.856	0.002	resp	3	4428	PsychophysicsToolbox
8.866	0.002	resp	3	4433	PsychophysicsToolbox
8.876	0.002	resp	3	4438	PsychophysicsToolbox
8.886	0.002	resp	3	4443	PsychophysicsToolbox
9.264	0.002	stim_on	4	4632	PsychophysicsToolbox
10.108	0.002	resp	3	5054	PsychophysicsToolbox
10.126	0.002	resp	3	5063	PsychophysicsToolbox
10.136	0.002	resp	3	5068	PsychophysicsToolbox
10.146	0.002	resp	3	5073	PsychophysicsToolbox
10.162	0.002	resp	3	5081	PsychophysicsToolbox
10.172	0.002	resp	3	5086	PsychophysicsToolbox
10.182	0.002	resp	3	5091	PsychophysicsToolbox
10.192	0.002	resp	3	5096	PsychophysicsToolbox
10.202	0.002	resp	3	5101	PsychophysicsToolbox
10.212	0.002	resp	3	5106	PsychophysicsToolbox
10.222	0.002	resp	3	5111	PsychophysicsToolbox
10.7	0.002	stim_on	4	5350	PsychophysicsToolbox
11.596	0.002	resp	3	5798	PsychophysicsToolbox
11.614	0.002	resp	3	5807	PsychophysicsToolbox
11.624	0.002	resp	3	5812	PsychophysicsToolbox
11.634	0.002	resp	3	5817	PsychophysicsToolbox
11.65	0.002	resp	3	5825	PsychophysicsToolbox
11.66	0.002	resp	3	5830	PsychophysicsToolbox
11.67	0.002	resp	3	5835	PsychophysicsToolbox
11.68	0.002	resp	3	5840	PsychophysicsToolbox
11.69	0.002	resp	3	5845	PsychophysicsToolbox
11.7	0.002	resp	3	5850	PsychophysicsToolbox
11.71	0.002	resp	3	5855	PsychophysicsToolbox
11.72	0.002	resp	3	5860	PsychophysicsToolbox
11.73	0.002	resp	3	5865	PsychophysicsToolbox
11.74	0.002	resp	3	5870	PsychophysicsToolbox
11.75	0.002	resp	3	5875	PsychophysicsToolbox
