onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.002	begin	1	0	PsychophysicsToolbox
0.498	0.002	stim_on	4	249	PsychophysicsToolbox
1.362	0.002	resp	3	681	PsychophysicsToolbox
1.38	0.002	resp	3	690	PsychophysicsToolbox
1.39	0.002	resp	3	695	PsychophysicsToolbox
1.4	0.002	resp	3	700	PsychophysicsToolbox
1.41	0.002	resp	3	705	PsychophysicsToolbox
1.42	0.002	resp	3	710	PsychophysicsToolbox
1.43	0.002	resp	3	715	PsychophysicsToolbox
1.44	0.002	resp	3	720	PsychophysicsToolbox
1.45	0.002	resp	3	725	PsychophysicsToolbox
2.05	0.002	stim_on	4	1025	PsychophysicsToolbox
2.85	0.002	resp	3	1425	PsychophysicsToolbox
2.868	0.002	resp	3	1434	PsychophysicsToolbox
2.878	0.002	resp	3	1439	PsychophysicsToolbox
2.888	0.002	resp	3	1444	PsychophysicsToolbox
2.898	0.002	resp	3	1449	PsychophysicsToolbox
2.908	0.002	resp	3	1454	PsychophysicsToolbox
2.918	0.002	resp	3	1459	PsychophysicsToolbox
2.928	0.002	resp	3	1464	PsychophysicsToolbox
2.938	0.002	resp	3	1469	PsychophysicsToolbox
2.948	0.002	resp	3	1474	PsychophysicsToolbox
2.964	0.002	resp	3	1482	PsychophysicsToolbox
2.974	0.002	resp	3	1487	PsychophysicsToolbox
2.984	0.002	resp	3	1492	PsychophysicsToolbox
2.994	0.002	resp	3	1497	PsychophysicsToolbox
3.004	0.002	resp	3	1502	PsychophysicsToolbox
3.586	0.002	stim_on	4	1793	PsychophysicsToolbox
4.434	0.002	resp	3	2217	PsychophysicsToolbox
4.452	0.002	resp	3	2226	PsychophysicsToolbox
4.462	0.002	resp	3	2231	PsychophysicsToolbox
4.472	0.002	resp	3	2236	PsychophysicsToolbox
4.482	0.002	resp	3	2241	PsychophysicsToolbox
4.492	0.002	resp	3	2246	PsychophysicsToolbox
4.502	0.002	resp	3	2251	PsychophysicsToolbox
4.512	0.002	resp	3	2256	PsychophysicsToolbox
4.528	0.002	resp	3	2264	PsychophysicsToolbox
4.538	0.002	resp	3	2269	PsychophysicsToolbox
4.548	0.002	resp	3	2274	PsychophysicsToolbox
4.558	0.002	resp	3	2279	PsychophysicsToolbox
5.256	0.002	stim_on	4	2628	PsychophysicsToolbox
6.058	0.002	resp	3	3029	PsychophysicsToolbox
6.076	0.002	resp	3	3038	PsychophysicsToolbox
6.086	0.002	resp	3	3043	PsychophysicsToolbox
6.096	0.002	resp	3	3048	PsychophysicsToolbox
6.106	0.002	resp	3	3053	PsychophysicsToolbox
6.116	0.002	resp	3	3058	PsychophysicsToolbox
6.126	0.002	resp	3	3063	PsychophysicsToolbox
6.136	0.002	resp	3	3068	PsychophysicsToolbox
6.146	0.002	resp	3	3073	PsychophysicsToolbox
6.156	0.002	resp	3	3078	PsychophysicsToolbox
6.172	0.002	resp	3	3086	PsychophysicsToolbox
6.182	0.002	resp	3	3091	PsychophysicsToolbox
6.676	0.002	stim_on	4	3338	PsychophysicsToolbox
7.442	0.002	resp	3	3721	PsychophysicsToolbox
7.46	0.002	resp	3	3730	PsychophysicsToolbox
7.47	0.002	resp	3	3735	PsychophysicsToolbox
7.48	0.002	resp	3	3740	PsychophysicsToolbox
7.49	0.002	resp	3	3745	PsychophysicsToolbox
7.5	0.002	resp	3	3750	PsychophysicsToolbox
7.51	0.002	resp	3	3755	PsychophysicsToolbox
7.52	0.002	resp	3	3760	PsychophysicsToolbox
7.53	0.002	resp	3	3765	PsychophysicsToolbox
7.546	0.002	resp	3	3773	PsychophysicsToolbox
7.556	0.002	resp	3	3778	PsychophysicsToolbox
8.128	0.002	stim_on	4	4064	PsychophysicsToolbox
8.922	0.002	resp	3	4461	PsychophysicsToolbox
8.94	0.002	resp	3	4470	PsychophysicsToolbox
8.95	0.002	resp	3	4475	PsychophysicsToolbox
8.96	0.002	resp	3	4480	PsychophysicsToolbox
8.97	0.002	resp	3	4485	PsychophysicsToolbox
8.98	0.002	resp	3	4490	PsychophysicsToolbox
8.99	0.002	resp	3	4495	PsychophysicsToolbox
9.0	0.002	resp	3	4500	PsychophysicsToolbox
9.016	0.002	resp	3	4508	PsychophysicsToolbox
9.026	0.002	resp	3	4513	PsychophysicsToolbox
9.036	0.002	resp	3	4518	PsychophysicsToolbox
9.498	0.002	stim_on	4	4749	PsychophysicsToolbox
10.21	0.002	resp	3	5105	PsychophysicsToolbox
10.228	0.002	resp	3	5114	PsychophysicsToolbox
10.238	0.002	resp	3	5119	PsychophysicsToolbox
10.248	0.002	resp	3	5124	PsychophysicsToolbox
10.258	0.002	resp	3	5129	PsychophysicsToolbox
10.268	0.002	resp	3	5134	PsychophysicsToolbox
10.278	0.002	resp	3	5139	PsychophysicsToolbox
10.288	0.002	resp	3	5144	PsychophysicsToolbox
10.298	0.002	resp	3	5149	PsychophysicsToolbox
10.314	0.002	resp	3	5157	PsychophysicsToolbox
10.324	0.002	resp	3	5162	PsychophysicsToolbox
10.334	0.002	resp	3	5167	PsychophysicsToolbox
11.184	0.002	stim_on	4	5592	PsychophysicsToolbox
11.906	0.002	resp	3	5953	PsychophysicsToolbox
11.924	0.002	resp	3	5962	PsychophysicsToolbox
11.934	0.002	resp	3	5967	PsychophysicsToolbox
11.944	0.002	resp	3	5972	PsychophysicsToolbox
11.954	0.002	resp	3	5977	PsychophysicsToolbox
11.964	0.002	resp	3	5982	PsychophysicsToolbox
11.974	0.002	resp	3	5987	PsychophysicsToolbox
11.984	0.002	resp	3	5992	PsychophysicsToolbox
12.0	0.002	resp	3	6000	PsychophysicsToolbox
12.01	0.002	resp	3	6005	PsychophysicsToolbox
12.02	0.002	resp	3	6010	PsychophysicsToolbox
12.754	0.002	stim_on	4	6377	PsychophysicsToolbox
13.49	0.002	resp	3	6745	PsychophysicsToolbox
13.508	0.002	resp	3	6754	PsychophysicsToolbox
13.518	0.002	resp	3	6759	PsychophysicsToolbox
13.528	0.002	resp	3	6764	PsychophysicsToolbox
13.538	0.002	resp	3	6769	PsychophysicsToolbox
